feature_name,original_value,encoded_value
layout_type,BHK,0
layout_type,RK,1
furnish_type,Furnished,0
furnish_type,Semi-Furnished,1
furnish_type,Unfurnished,2
city,Ahmedabad,0
city,Bangalore,1
city,Chennai,2
city,Delhi,3
city,Hyderabad,4
city,Kolkata,5
city,Mumbai,6
city,Pune,7
locality,Bodakdev,567
locality,CG Road,633
locality,Jodhpur,1481
locality,Sanand,3053
locality,Navrangpura,2433
locality,Vejalpur,3820
locality,Jivraj Park,1479
locality,Nikol,2524
locality,Shahibuag,3335
locality,Maninagar,2125
locality,Ghatlodiya,1104
locality,Shilaj,3383
locality,Saijpur Bogha,3022
locality,Jodhpur Village,1485
locality,Vastrapur,3805
locality,Satellite,3119
locality,Chandkheda,673
locality,Bopal,588
locality,Prahlad Nagar,2759
locality,Vasna,3803
locality,Shela,3369
locality,Makarba,2073
locality,Khokhra,1750
locality,Ghuma,1116
locality,Ghodsar,1111
locality,Memnagar,2210
locality,Nehru Nagar,2459
locality,Keshav Nagar,1714
locality,Near Nirma University On SG Highway,2446
locality,Science City,3132
locality,Thaltej,3617
locality,Naranpuraa,2391
locality,Jagatpur,1409
locality,Motera,2265
locality,Ambavadi,139
locality,Shrinand Nagar,3415
locality,Satlasana,3126
locality,Near Vaishno Devi Circle On SG Highway,2447
locality,Paldi,2612
locality,Juhapura,1500
locality,Moraiya,2261
locality,Gota,1148
locality,Vatva,3808
locality,Godhavi,1123
locality,Ambli,151
locality,Ranip,2914
locality,Zundal,4012
locality,Sola,3459
locality,Narol,2414
locality,Ellisbridge,1009
locality,Naryanpura,2417
locality,Gurukul,1207
locality,Narolgam,2415
locality,Usman Pura,3730
locality,Nana Chiloda,2373
locality,Sanathal,3057
locality,Khodiar Nagar,1748
locality,Anand Nagar,172
locality,Satellite Society,3122
locality,Isanpur,1371
locality,Ramdev Nagar,2900
locality,New Ranip,2509
locality,Manipur,2127
locality,Nava Vadaj,2422
locality,Chanakyapuri,660
locality,Khodiyar,1749
locality,Chharodi,711
locality,Santej,3075
locality,Dani Limda,825
locality,Koteshwar,1842
locality,Mithakhali,2238
locality,Law Garden,1943
locality,Sarkhej,3101
locality,Kudasan,1875
locality,Ayojan Nagar,270
locality,Adraj,83
locality,Sarkhej Okaf,3102
locality,Khanpur,1728
locality,Old Wadaj,2568
locality,Chekhla,693
locality,Hatkeshwar,1266
locality,Santipura,3079
locality,Tragad,3689
locality,Mumatpura,2293
locality,Rambaug,2898
locality,Bhadaj,480
locality,Ognaj,2551
locality,Asarwa,234
locality,Shahibaug,3333
locality,Odhav,2545
locality,Kankaria,1633
locality,Gulbai Tekra,1188
locality,shastri Nagar,4123
locality,Hathijan,1265
locality,Chharodi Ahmedabad West,712
locality,Chandlodia,674
locality,Sola Village,3460
locality,Shantipura,3359
locality,Nava Naroda,2421
locality,Nirnay Nagar,2530
locality,Bhat,502
locality,Sughad,3527
locality,Ambawadi Circle,140
locality,Neww CG Road,2518
locality,Hirabaug Railway Crossing Road,1295
locality,New C G Road,2490
locality,Thaltej Shilaj Road,3618
locality,New cg road,2516
locality,Bhudarpura Road,524
locality,Vaishnodevi,3758
locality,Vishala,3906
locality,Nigam Nagar,2519
locality,South Bopal,3476
locality,Changodar,681
locality,Judges Bungalow Cross Road,1499
locality,New Maninagar,2502
locality,new c g road chandkheda,4106
locality,Sabarmati,2990
locality,Motera Stadium Road,2266
locality,Narayan Nagar,2393
locality,Vejalpur Gam,3821
locality,Shyamal Cross Road,3418
locality,Sanand Sarkhej Road,3054
locality,Koteshwar Bhat Road,1843
locality,Bodakdev Road,568
locality,Narmada Canal,2412
locality,Satellite Road,3121
locality,Subhash Bridge,3518
locality,Sarkhej Road,3103
locality,Zundal Circle,4013
locality,S G Highway,2972
locality,Airport Road,101
locality,Gandhi Nagar,1061
locality,GotaOgnaj Road,1149
locality,Shahibaug Flyover,3334
locality,Azad Society Road,274
locality,Vijay Cross Roads,3860
locality,Bapunagar,409
locality,Bhagwat Vidyapith Road,483
locality,gota SG higway,4047
locality,Gurukul Road,1208
locality,Manekbaugh,2111
locality,Sindhubhavan Road,3434
locality,Virat Nagar Road,3899
locality,Prahlad Nagar Road,2760
locality,Khamasa,1725
locality,Kuber Nagar,1873
locality,Shahibagh,3332
locality,SG Highway Service Road,2980
locality,Ashram Road,239
locality,Bhattapaldi,505
locality,Satellite Extension,3120
locality,Shivranjani Cross Road,3406
locality,J 18 TP 44 chandkheda,1379
locality,Sachana,2993
locality,Maninagar East,2126
locality,Vastral,3804
locality,Wadaj,3927
locality,Sardar Patel Ring Road,3093
locality,NIgam Society,2329
locality,Chandlodiya Road,676
locality,Naranpura Road,2390
locality,Ghatlodia Road,1103
locality,SAL Hospital,2974
locality,Prerna Tirth Road,2770
locality,ISCON Cross Road,1340
locality,Chandlodiya,675
locality,Khokhra Circle,1751
locality,Shahpur,3336
locality,Ambli Bopal Road,152
locality,Hebatpur,1271
locality,Amraiwadi,161
locality,South Bopal Road,3477
locality,Naroda,2413
locality,kolat,4079
locality,Ghatlodia,1102
locality,Ambapur,134
locality,Drive in Rd,943
locality,Parimal Garden,2654
locality,Drive In Cinema Road,942
locality,Hansol,1242
locality,Zydus Hospital Road,4014
locality,Ghoda Camp Road,1107
locality,Bavla,433
locality,Navrang Circle,2432
locality,Koteshwar Road,1844
locality,Anjali Cross Road,198
locality,India Colony,1354
locality,Thakkarbapa Nagar,3608
locality,Visalpur,3902
locality,Chaloda,656
locality,Kiran Park Road,1757
locality,Vinzol,3894
locality,Meghani Nagar,2207
locality,Kalupur,1580
locality,Ghuma Bopal Road,1117
locality,Ahmedabad Cantonment,94
locality,Kathwada,1684
locality,Khanderavpura,1727
locality,Jashoda Nagar,1447
locality,Jodhpur Cross Road,1482
locality,shyamal,4124
locality,kamakshipalya,4069
locality,Kadugodi Industrial Area,1544
locality,Koramangala,1832
locality,Sadduguntepalya,2999
locality,Chandapura,669
locality,Yelahanka New Town,3995
locality,Bommanahalli,578
locality,Kengeri Satellite Town,1713
locality,T Dasarahalli,3565
locality,Attibele,247
locality,Kasavanahalli,1669
locality,Nandini Layout,2382
locality,Bharat Nagar,494
locality,Kodihalli on Old Airport Road,1781
locality,Hebbal,1272
locality,Whitefield Hope Farm Junction,3976
locality,Banaswadi,375
locality,Whitefield,3974
locality,Kogilu,1787
locality,Hennur,1280
locality,hongasandra bangalore,4055
locality,Banashankari,366
locality,Krishnarajapura,1872
locality,Indira Nagar,1357
locality,Harlur,1257
locality,J. P. Nagar,1383
locality,Begur,445
locality,BTM Layout,299
locality,Basavanagudi,423
locality,Padmanabhanagar,2595
locality,Kadugodi,1543
locality,Rajajinagar,2860
locality,Bagalakunte,317
locality,Vidyaranyapura,3852
locality,Vibhutipura,3845
locality,Electronic City Phase 1,1000
locality,Kaggadasapura,1546
locality,Kannur,1640
locality,Bendre Nagar,470
locality,Mathikere,2180
locality,Munnekollal,2310
locality,Electronic City Phase II,1002
locality,JP Nagar Phase 4,1391
